payment_type,card_number,date_time,payment_status
visa,4041599113772606,11/20/2023,Failed
mastercard,5048377669574050,07/01/2023,Success
mastercard,5108757938915563,02/06/2024,Success
visa,4041599495896171,5/18/2023,Success
mastercard,5108750150574713,10/04/2023,Success
mastercard,5100147888929061,11/22/2023,Success
mastercard,5007665588930067,12/28/2023,Success
mastercard,5002350185528029,11/15/2023,Success
americanexpress,3.74289E+14,04/06/2023,Success
americanexpress,3.74623E+14,05/05/2023,Success
visa,4041594542902247,1/24/2024,Success
visa,4.04137E+12,02/03/2024,Success
americanexpress,3.37942E+14,04/04/2023,Success
mastercard,5048377819636411,06/01/2023,Success
mastercard,5100138104917022,08/11/2023,Success
americanexpress,3.37941E+14,08/04/2023,Success
visa,4.01795E+12,04/03/2023,Success
mastercard,5007667439415074,06/03/2023,Success
americanexpress,3.72302E+14,3/28/2023,Success
americanexpress,3.37941E+14,05/08/2023,Success
americanexpress,3.37941E+14,3/24/2023,Success
mastercard,5108755338154668,1/15/2024,Success
mastercard,5100130819614358,11/07/2023,Success
mastercard,5048372889285744,8/18/2023,Success
visa,4.04159E+12,7/30/2023,Success
mastercard,5100147737059680,01/08/2024,Success
visa,4041594811295786,6/14/2023,Success
americanexpress,3.37941E+14,11/07/2023,Success
mastercard,5010127973619594,11/05/2023,Success
americanexpress,3.37941E+14,10/29/2023,Success
mastercard,5048377739711310,8/15/2023,Success
visa,4041599678837356,7/21/2023,Success
visa,4.0416E+12,8/20/2023,Pending
mastercard,5048376869617727,7/21/2023,Failed
mastercard,5048373821189564,6/28/2023,Failed
visa,4041590557226217,5/17/2023,Failed
mastercard,5108754070652377,9/27/2023,Failed
mastercard,5007661713896158,3/17/2023,Failed
americanexpress,3.74288E+14,1/17/2024,Failed
americanexpress,3.74289E+14,10/25/2023,Failed
americanexpress,3.74622E+14,12/06/2023,Failed
americanexpress,3.37941E+14,07/08/2023,Failed
americanexpress,3.74289E+14,12/11/2023,Failed
americanexpress,3.74289E+14,02/10/2024,Failed
visa,4041591049501100,10/05/2023,Failed
americanexpress,3.37942E+14,11/13/2023,Failed
mastercard,5002359590705726,9/24/2023,Failed
mastercard,5048370961797370,7/30/2023,Failed
visa,4.01795E+12,06/07/2023,Success
mastercard,5007665707124881,08/12/2023,Success
visa,4041374851256372,01/09/2024,Success
americanexpress,3.74289E+14,01/10/2024,Success
mastercard,5007669251328724,11/30/2023,Success
americanexpress,3.72302E+14,1/21/2024,Success
americanexpress,3.72301E+14,8/21/2023,Pending
visa,4.04159E+12,05/06/2023,Pending
americanexpress,3.72301E+14,10/30/2023,Pending
visa,4.04137E+12,05/07/2023,Pending
americanexpress,3.37942E+14,9/19/2023,Pending
americanexpress,3.72302E+14,05/02/2023,Pending
mastercard,5100142601390022,9/26/2023,Pending
mastercard,5100142374045829,03/01/2024,Pending
mastercard,5048373086720681,12/28/2023,Pending
visa,4.04159E+12,2/27/2024,Pending
americanexpress,3.74283E+14,9/18/2023,Pending
americanexpress,3.37942E+14,12/21/2023,Pending
mastercard,5100146936423614,9/22/2023,Pending
americanexpress,3.74623E+14,07/06/2023,Pending
americanexpress,3.74284E+14,12/04/2023,Success
americanexpress,3.37941E+14,7/27/2023,Success
mastercard,5108758232376049,01/07/2024,Success
americanexpress,3.72302E+14,9/18/2023,Success
americanexpress,3.74623E+14,3/24/2023,Success
mastercard,5108757712971360,8/30/2023,Success
americanexpress,3.72301E+14,3/17/2023,Success
mastercard,5100130333144619,5/14/2023,Success
americanexpress,3.74623E+14,11/12/2023,Success
americanexpress,3.37942E+14,10/16/2023,Success
visa,4017952570455621,4/21/2023,Success
americanexpress,3.72301E+14,2/28/2024,Success
mastercard,5002353137761706,11/29/2023,Success
mastercard,5007663660557320,01/04/2024,Success
mastercard,5010123458730402,12/04/2023,Success
visa,4.01796E+12,01/06/2024,Success
mastercard,5048375733782774,01/01/2024,Success
americanexpress,3.74283E+14,06/06/2023,Success
visa,4041598231928355,11/10/2023,Success
visa,4.04138E+12,8/22/2023,Success
americanexpress,3.74622E+14,5/28/2023,Success
americanexpress,3.74622E+14,05/09/2023,Success
americanexpress,3.74622E+14,06/11/2023,Success
americanexpress,3.74622E+14,05/10/2023,Success
americanexpress,3.74623E+14,03/06/2023,Success
mastercard,5100144444465417,06/01/2023,Success
mastercard,5100178588549511,7/14/2023,Success
americanexpress,3.37941E+14,11/11/2023,Success
americanexpress,3.37941E+14,07/03/2023,Success
mastercard,5100177704908569,03/06/2023,Success
americanexpress,3.74288E+14,02/11/2024,Success
visa,4017958273963977,3/27/2023,Success
visa,4.01796E+12,12/05/2023,Success
americanexpress,3.74623E+14,4/18/2023,Success
mastercard,5100179000055178,02/11/2024,Success
visa,4.0416E+12,12/09/2023,Success
visa,4.0416E+12,5/14/2023,Success
mastercard,5100176416390249,04/05/2023,Success
visa,4.04138E+12,1/15/2024,Success
visa,4041591075554429,9/16/2023,Success
mastercard,5048370280756511,9/22/2023,Success
americanexpress,3.74283E+14,12/11/2023,Success
mastercard,5100139984931729,10/25/2023,Failed
mastercard,5108751865709149,3/21/2023,Failed
visa,4.04138E+12,04/05/2023,Failed
americanexpress,3.74283E+14,5/25/2023,Failed
visa,4.04138E+12,10/04/2023,Failed
americanexpress,3.74283E+14,08/01/2023,Failed
